year,mem_unions,state,rep_unions
2015,16.80,WA,18.00
2016,17.40,WA,18.70
2017,18.80,WA,20.20
2018,19.80,WA,20.50
2019,18.80,WA,20.20
2020,17.40,WA,18.60
2021,19.00,WA,20.00
2022,18.00,WA,19.10
2023,16.50,WA,18.10
2024,16.00,WA,18.30
2000,14.30,WV,15.60
2001,14.10,WV,15.50
2002,13.30,WV,14.10
2003,13.10,WV,14.20
2004,14.20,WV,15.70
2005,14.40,WV,15.50
2006,14.20,WV,15.50
2007,13.30,WV,14.70
2008,13.80,WV,15.30
2009,13.90,WV,15.40
2010,14.80,WV,16.50
2011,13.80,WV,15.20
2012,12.10,WV,13.10
2013,12.70,WV,13.50
2014,10.60,WV,11.60
2015,12.40,WV,13.70
2016,11.80,WV,13.20
2017,11.00,WV,11.90
2018,10.00,WV,10.80
2019,10.20,WV,11.10
2020,10.70,WV,11.30
2021,9.60,WV,10.50
2022,9.20,WV,10.00
2023,8.70,WV,10.10
2024,8.80,WV,10.00
2000,17.80,WI,18.90
2001,16.10,WI,17.40
2002,15.60,WI,16.40
2003,15.90,WI,16.80
2004,16.00,WI,16.90
2005,16.10,WI,17.20
2006,14.90,WI,16.10
2007,14.30,WI,15.40
2008,15.00,WI,16.00
2009,15.20,WI,15.80
2010,14.20,WI,15.10
2011,13.30,WI,14.10
2012,11.20,WI,12.00
2013,12.30,WI,13.10
2014,11.70,WI,12.50
2015,8.30,WI,9.40
2016,8.10,WI,9.00
2017,8.30,WI,9.00
2018,8.10,WI,8.60
2019,8.10,WI,9.10
2020,8.70,WI,10.20
2021,7.90,WI,9.30
2022,7.10,WI,8.00
2023,7.40,WI,8.40
2024,6.40,WI,6.90
2000,8.80,WY,10.60
2001,8.90,WY,11.00
2002,7.80,WY,9.90
2003,8.00,WY,9.80
2004,8.00,WY,9.80
2005,7.90,WY,9.50
2006,8.30,WY,10.00
2007,7.90,WY,9.40
2008,7.70,WY,8.90
2009,7.70,WY,8.30
2010,7.40,WY,8.40
2011,7.20,WY,8.40
2012,6.70,WY,8.10
2013,5.70,WY,6.40
2014,6.70,WY,7.50
2015,7.10,WY,8.20
2016,6.30,WY,7.30
2017,6.00,WY,6.70
2018,6.50,WY,7.70
2019,7.30,WY,8.70
2020,7.60,WY,9.30
2021,5.70,WY,6.90
2022,5.60,WY,7.30
2023,5.60,WY,6.60
2024,5.60,WY,6.70
